XOR V7, pulse= 01, i= 89, temp= 100
XOR V7, pulse= 10, i= 89, temp= 100
XOR V7, pulse= 11, i= 101, temp= 100
XOR V8, pulse= 00, i= 73, temp= 100
XOR V8, pulse= 01, i= 49, temp= 100
XOR V8, pulse= 10, i= 63, temp= 100
XOR V8, pulse= 11, i= 59, temp= 100
XOR V9, pulse= 00, i= 101, temp= 100
XOR V9, pulse= 01, i= 89, temp= 100
XOR V9, pulse= 10, i= 89, temp= 100
XOR V9, pulse= 11, i= 102, temp= 100
XOR V1, pulse= 00, i= 59, temp= 125
XOR V1, pulse= 01, i= 48, temp= 125
XOR V1, pulse= 10, i= 48, temp= 125
XOR V1, pulse= 11, i= 59, temp= 125
XOR V2, pulse= 00, i= 103, temp= 125
XOR V2, pulse= 01, i= 90, temp= 125
XOR V2, pulse= 10, i= 90, temp= 125
XOR V2, pulse= 11, i= 103, temp= 125
XOR V3, pulse= 00, i= 59, temp= 125
XOR V3, pulse= 01, i= 60, temp= 125
XOR V3, pulse= 10, i= 60, temp= 125
XOR V3, pulse= 11, i= 125, temp= 125
XOR V4, pulse= 00, i= 59, temp= 125
XOR V4, pulse= 01, i= 60, temp= 125
XOR V4, pulse= 10, i= 48, temp= 125
XOR V4, pulse= 11, i= 74, temp= 125
XOR V5, pulse= 00, i= 71, temp= 125
XOR V5, pulse= 01, i= 60, temp= 125
XOR V5, pulse= 10, i= 60, temp= 125
XOR V5, pulse= 11, i= 71, temp= 125
XOR V6, pulse= 00, i= 103, temp= 125
XOR V6, pulse= 01, i= 90, temp= 125
XOR V6, pulse= 10, i= 90, temp= 125
XOR V6, pulse= 11, i= 103, temp= 125
XOR V7, pulse= 00, i= 103, temp= 125
XOR V7, pulse= 01, i= 90, temp= 125
XOR V7, pulse= 10, i= 90, temp= 125
XOR V7, pulse= 11, i= 103, temp= 125
XOR V8, pulse= 00, i= 74, temp= 125
XOR V8, pulse= 01, i= 48, temp= 125
XOR V8, pulse= 10, i= 63, temp= 125
XOR V8, pulse= 11, i= 58, temp= 125
XOR V9, pulse= 00, i= 102, temp= 125
XOR V9, pulse= 01, i= 90, temp= 125
XOR V9, pulse= 10, i= 89, temp= 125
XOR V9, pulse= 11, i= 103, temp= 125

